peak_utc,goes_class,lead_time_min,alerted
2026-06-02 04:44:58+00:00,M,29.233333333333334,True
2026-06-02 06:59:41+00:00,C,29.533333333333335,True
2026-06-02 10:04:44+00:00,M,29.1,True
2026-06-02 13:58:03+00:00,C,29.866666666666667,True
2026-06-02 16:49:15+00:00,M,29.8,True
2026-06-03 01:35:06+00:00,M,29.75,True
2026-06-03 07:00:27+00:00,M,29.516666666666666,True
2026-06-03 11:28:03+00:00,X,29.633333333333333,True
2026-06-06 06:29:40+00:00,C,29.316666666666666,True
2026-06-06 13:17:39+00:00,C,29.7,True
2026-06-10 00:59:24+00:00,C,29.383333333333333,True
2026-06-12 02:13:25+00:00,C,29.1,True
